iter	MultiClass
0	1.661174413
1	1.459491945
2	1.298411083
3	1.170506385
4	1.068851696
5	0.985102267
6	0.9024753185
7	0.8361482814
8	0.7734943501
9	0.7214301093
10	0.6704681784
11	0.6308898134
12	0.5964528953
13	0.5670473455
14	0.5348789231
15	0.5077398035
16	0.4782746505
17	0.449240151
18	0.4272563887
19	0.4091867093
20	0.3869702672
21	0.3712760329
22	0.3579876896
23	0.3424377011
24	0.3320213756
25	0.3176135181
26	0.306772753
27	0.2960518907
28	0.2840264851
29	0.2771648431
30	0.2675821053
31	0.2604972358
32	0.2527995639
33	0.2456912415
34	0.2370050975
35	0.2316445629
36	0.2270053883
37	0.2206018686
38	0.2158472593
39	0.2091338614
40	0.203648303
41	0.1971731942
42	0.1939857976
43	0.1906009677
44	0.1856581299
45	0.1807193155
46	0.1767518917
47	0.1730652376
48	0.1690651197
49	0.1647326041
50	0.1618227427
51	0.158915329
52	0.1560474204
53	0.1530753392
54	0.1503383227
55	0.1456336703
56	0.1428707145
57	0.1398824103
58	0.1375902421
59	0.1349341041
60	0.1333866981
61	0.1309897736
62	0.1281113242
63	0.1261036975
64	0.1231036945
65	0.1204861312
66	0.1192499306
67	0.1170714256
68	0.1145647233
69	0.1133954017
70	0.111112737
71	0.1086720346
72	0.1076290585
73	0.1063394658
74	0.1032600988
75	0.1018387853
76	0.1000977015
77	0.098582277
78	0.0972019859
79	0.09510299218
80	0.09370585738
81	0.09287194796
82	0.09042078717
83	0.08870346108
84	0.08595555641
85	0.08433651826
86	0.0824156107
87	0.08085259988
88	0.07979271936
89	0.07736999704
90	0.07667955008
91	0.07505966516
92	0.07339170259
93	0.07165207949
94	0.07040858449
95	0.06919486962
96	0.0674886109
97	0.06610399565
98	0.06471474356
99	0.06370599108
100	0.0628879447
101	0.06134918597
102	0.05926537166
103	0.05806217757
104	0.05672373583
105	0.05605359059
106	0.05542244687
107	0.0547044742
108	0.05312569084
109	0.05250548697
110	0.05179222626
111	0.05091089796
112	0.05034347236
113	0.04932043601
114	0.04869242849
115	0.04813439171
116	0.04758505527
117	0.04698439996
118	0.0462989739
119	0.04587802549
120	0.04532079264
121	0.04488856733
122	0.04414697432
123	0.04325784684
124	0.04283639672
125	0.04243991686
126	0.04185408555
127	0.04131604511
128	0.04075640742
129	0.04027747285
130	0.03991798366
131	0.03947280491
132	0.03902064635
133	0.03867757968
134	0.03836074874
135	0.03812555021
136	0.03761917519
137	0.03706801693
138	0.03675465547
139	0.03647163153
140	0.03612199366
141	0.03580965113
142	0.03555458996
143	0.03488170038
144	0.03460076537
145	0.03422052274
146	0.03395702403
147	0.03370950682
148	0.03344871315
149	0.03312711726
150	0.03265647907
151	0.03232154651
152	0.03172343049
153	0.031494067
154	0.03124348959
155	0.03088289233
156	0.03073727091
157	0.03040279124
158	0.03012391357
159	0.02985507149
160	0.02934023727
161	0.02914023542
162	0.02894536338
163	0.02868182634
164	0.0284258305
165	0.02825440197
166	0.02796982093
167	0.02772134222
168	0.02745045628
169	0.02725968366
170	0.02707603434
171	0.02693613275
172	0.02662409092
173	0.02645869195
174	0.02625223274
175	0.0258991155
176	0.02571339791
177	0.02553061125
178	0.02515326214
179	0.0247089135
180	0.0244893481
181	0.02429885351
182	0.02415572498
183	0.02392833537
184	0.02379976962
185	0.02370219204
186	0.02350921572
187	0.02332439165
188	0.02304736548
189	0.02288719208
190	0.02273948446
191	0.02256712175
192	0.0224509265
193	0.02217196996
194	0.02204063965
195	0.02193684946
196	0.02182185153
197	0.02161670237
198	0.02147887129
199	0.02138532175
200	0.02105994638
201	0.02094909333
202	0.02080595375
203	0.02071301087
204	0.02057764831
205	0.02041643824
206	0.02028220606
207	0.02019617271
208	0.02000270268
209	0.0199029343
210	0.01976981199
211	0.01958600517
212	0.01939232112
213	0.01922769461
214	0.01915444086
215	0.01908088544
216	0.01893519022
217	0.01886901675
218	0.01873101633
219	0.01866433537
220	0.01857513046
221	0.01843860368
222	0.01824167481
223	0.0181366336
224	0.01795879414
225	0.01785031647
226	0.01774732705
227	0.01761458631
228	0.01750002687
229	0.0174060308
230	0.01716445606
231	0.01707104927
232	0.01698350779
233	0.01688692203
234	0.01679977993
235	0.01672893199
236	0.01655976702
237	0.01643684115
238	0.01636523889
239	0.01627083775
240	0.01618389524
241	0.01607842849
242	0.01601399567
243	0.01581147743
244	0.01573484631
245	0.01564497265
246	0.01559135502
247	0.01544832596
248	0.01539786764
249	0.01534169173
250	0.01520483941
251	0.01514840569
252	0.01509625615
253	0.01499672758
254	0.01493221307
255	0.01487246814
256	0.01474974434
257	0.01469317148
258	0.0145923213
259	0.01453362344
260	0.01447004063
261	0.01439758797
262	0.01433817352
263	0.01428220553
264	0.014214971
265	0.01415960974
266	0.01406864905
267	0.0139967685
268	0.01394445116
269	0.01381092279
270	0.0137504457
271	0.01368092122
272	0.01359730314
273	0.01347555254
274	0.01342949615
275	0.01338329457
276	0.01333561973
277	0.01329775081
278	0.01325387222
279	0.01321864083
280	0.01310739819
281	0.01305775436
282	0.01301194494
283	0.01289026668
284	0.01285647805
285	0.0128183346
286	0.01266284464
287	0.01263179144
288	0.01256044557
289	0.01239316188
290	0.01232597401
291	0.01226489375
292	0.01211376525
293	0.01200205028
294	0.01192192991
295	0.01188260556
296	0.01183202382
297	0.01178446436
298	0.01172026054
299	0.01166443884
300	0.01163620317
301	0.01154973974
302	0.01144851568
303	0.01139364165
304	0.0113586504
305	0.01127911223
306	0.01115359269
307	0.0111245649
308	0.01109319084
309	0.01106684543
310	0.01103807861
311	0.01098493017
312	0.01096098866
313	0.01091380886
314	0.01085138516
315	0.01080735842
316	0.01073939939
317	0.0106961394
318	0.01065718666
319	0.01061719897
320	0.0105768564
321	0.01054084111
322	0.01043252923
323	0.01037624038
324	0.01032962092
325	0.0102928183
326	0.0102720303
327	0.01024957949
328	0.01021227103
329	0.01018488125
330	0.01016381693
331	0.01011882394
332	0.01007425099
333	0.01004685616
334	0.01002758079
335	0.009985216627
336	0.009950749903
337	0.009884236609
338	0.009860697059
339	0.009838764002
340	0.009818277004
341	0.009787188633
342	0.009748920154
343	0.009709506758
344	0.009677284396
345	0.009657976958
346	0.009637375891
347	0.009553498251
348	0.009535461042
349	0.009515141723
350	0.009496230349
351	0.009475688215
352	0.009411016817
353	0.009392173461
354	0.009364848608
355	0.009256460215
356	0.009240758057
357	0.009215351926
358	0.009166410448
359	0.009148084511
360	0.009118372325
361	0.009082019544
362	0.009064548529
363	0.009023519469
364	0.008972388366
365	0.008945320037
366	0.0089049994
367	0.008888775558
368	0.008850886836
369	0.008814214314
370	0.008775468977
371	0.008729995063
372	0.008698569671
373	0.008655778402
374	0.008620045158
375	0.008587845074
376	0.00854890292
377	0.008512130465
378	0.008478475146
379	0.008423442409
380	0.008389409867
381	0.008357657273
382	0.008325100854
383	0.008282548775
384	0.008218078675
385	0.008170961433
386	0.008130555874
387	0.008103933645
388	0.008072189957
389	0.008046021898
390	0.008021212948
391	0.007982260965
392	0.007960580902
393	0.007935683146
394	0.007911676845
395	0.0078896302
396	0.007879665192
397	0.007862365757
398	0.007848778635
399	0.007820050385
